USER ID : 8 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Tue Feb 06 2024 12:09:50 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 14:17:46 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Wed Feb 07 2024 14:17:56 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 14:26:21 GMT+0530 (India Standard Time)
USER ID : 4 | URL :https://localhost:44370/Login/Login | TIME OF ACCESS : Wed Feb 07 2024 14:34:40 GMT+0530 (India Standard Time)
USER ID : 4 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Wed Feb 07 2024 14:34:50 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Login/Login | TIME OF ACCESS : Wed Feb 07 2024 14:35:55 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 14:36:05 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 14:37:29 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 14:43:05 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 14:44:07 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Wed Feb 07 2024 14:44:37 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 14:46:04 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 16:49:04 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Wed Feb 07 2024 16:50:44 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Login/Login | TIME OF ACCESS : Wed Feb 07 2024 17:00:42 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 17:00:52 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 17:01:32 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 17:11:23 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Wed Feb 07 2024 17:11:43 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 17:13:10 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 17:13:56 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Login/Login | TIME OF ACCESS : Wed Feb 07 2024 17:18:05 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 17:18:15 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 17:20:04 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 17:51:32 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 17:58:14 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 18:20:55 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 18:21:05 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Wed Feb 07 2024 18:21:55 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Login/Login | TIME OF ACCESS : Wed Feb 07 2024 21:49:31 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 21:49:41 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Wed Feb 07 2024 21:50:51 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 21:51:41 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Login/Login | TIME OF ACCESS : Wed Feb 07 2024 21:52:13 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 21:55:30 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 21:55:40 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 22:05:23 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 22:05:54 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Wed Feb 07 2024 22:06:43 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://accounts.google.com/InteractiveLogin/signinchooser?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=ASKXGp3DN1Cq1j9A_M3sb6ybhRKvIStcxhjxcfinS2NDZ7hXw-qZ1Rul_ymx92LsyQi9JR5atxgNXQ&theme=glif&flowName=GlifWebSignIn&flowEntry=ServiceLogin | TIME OF ACCESS : Wed Feb 07 2024 22:24:59 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://www.office.com/ | TIME OF ACCESS : Wed Feb 07 2024 22:25:06 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://www.youtube.com/watch?v=Bh_YJs3LHNE | TIME OF ACCESS : Wed Feb 07 2024 22:26:21 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Wed Feb 07 2024 22:26:21 GMT+0530 (India Standard Time)
USER ID : 1 | URL :about:debugging#/runtime/this-firefox | TIME OF ACCESS : Wed Feb 07 2024 22:26:21 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://www.instagram.com/ | TIME OF ACCESS : Wed Feb 07 2024 22:26:21 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://www.instagram.com/direct/inbox/ | TIME OF ACCESS : Wed Feb 07 2024 22:26:31 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 22:26:42 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 22:30:38 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 22:30:48 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 22:31:27 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Login/Login | TIME OF ACCESS : Wed Feb 07 2024 22:45:06 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 22:45:16 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Login/Login | TIME OF ACCESS : Wed Feb 07 2024 22:46:17 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Wed Feb 07 2024 22:46:27 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 22:46:47 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 22:46:57 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 22:47:17 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 22:58:07 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 22:59:02 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Wed Feb 07 2024 23:00:22 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 23:00:32 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Login/Login | TIME OF ACCESS : Wed Feb 07 2024 23:02:00 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 23:02:10 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 23:06:50 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 23:07:00 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 23:07:51 GMT+0530 (India Standard Time)
USER ID : 4 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Wed Feb 07 2024 23:08:31 GMT+0530 (India Standard Time)
USER ID : 4 | URL :https://www.youtube.com/watch?v=CkapyXQYdfQ | TIME OF ACCESS : Wed Feb 07 2024 23:08:34 GMT+0530 (India Standard Time)
USER ID : 4 | URL :https://localhost:44370/Login/Login | TIME OF ACCESS : Wed Feb 07 2024 23:09:09 GMT+0530 (India Standard Time)
USER ID : 4 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Wed Feb 07 2024 23:09:19 GMT+0530 (India Standard Time)
USER ID : 8 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Wed Feb 07 2024 23:09:39 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Thu Feb 08 2024 08:38:54 GMT+0530 (India Standard Time)
USER ID : 4 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Thu Feb 08 2024 08:39:24 GMT+0530 (India Standard Time)
USER ID : 4 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Thu Feb 08 2024 08:40:00 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Thu Feb 08 2024 09:34:22 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Thu Feb 08 2024 09:34:32 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Thu Feb 08 2024 09:35:12 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Thu Feb 08 2024 09:41:14 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Thu Feb 08 2024 10:05:23 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Thu Feb 08 2024 10:59:38 GMT+0530 (India Standard Time)
USER ID : 8 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Thu Feb 08 2024 11:01:08 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Thu Feb 08 2024 11:03:03 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Thu Feb 08 2024 11:03:13 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Thu Feb 08 2024 11:08:53 GMT+0530 (India Standard Time)
USER ID : 12 | URL :https://localhost:44370/Dashboard/Logout | TIME OF ACCESS : Thu Feb 08 2024 11:42:43 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Thu Feb 08 2024 11:51:14 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Thu Feb 08 2024 11:51:24 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://localhost:44370/Dashboard/UserInformation | TIME OF ACCESS : Thu Feb 08 2024 11:54:18 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Thu Feb 08 2024 11:54:28 GMT+0530 (India Standard Time)
USER ID : 14 | URL :chrome://newtab/ | TIME OF ACCESS : Thu Feb 08 2024 11:56:08 GMT+0530 (India Standard Time)
USER ID : 14 | URL :https://www.google.com/search?q=what is the standard session expiry time in .net&oq=what is the standard session expiry time in .net&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIJCAEQIRgKGKABMgkIAhAhGAoYoAEyCQgDECEYChigATIGCAQQIRgV0gEJMTExODRqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8 | TIME OF ACCESS : Thu Feb 08 2024 11:56:28 GMT+0530 (India Standard Time)
USER ID : 14 | URL :https://gpkashipur.in/wp-content/uploads/2017/09/Sample-Synopsis.pdf | TIME OF ACCESS : Thu Feb 08 2024 12:07:58 GMT+0530 (India Standard Time)
USER ID : 14 | URL :https://www.google.com/search?q=synopsis college project example&oq=synopsis college project ex&gs_lcrp=EgZjaHJvbWUqBwgBECEYoAEyBggAEEUYOTIHCAEQIRigATIHCAIQIRigATIHCAMQIRigATIHCAQQIRifBTIHCAUQIRifBdIBCTE3OTY5ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8 | TIME OF ACCESS : Thu Feb 08 2024 12:08:08 GMT+0530 (India Standard Time)
USER ID : 14 | URL :https://www.google.com/search?q=sppu result&oq=sppu &gs_lcrp=EgZjaHJvbWUqDwgAEEUYOxiDARixAxiABDIPCAAQRRg7GIMBGLEDGIAEMgYIARBFGEAyDAgCEAAYQxiABBiKBTIGCAMQRRg5MgwIBBAAGEMYgAQYigUyDAgFEAAYQxiABBiKBTIMCAYQABhDGIAEGIoFMgcIBxAAGIAE0gEIMjY0N2owajeoAgCwAgA&sourceid=chrome&ie=UTF-8 | TIME OF ACCESS : Thu Feb 08 2024 12:08:18 GMT+0530 (India Standard Time)
USER ID : 14 | URL :https://onlineresults.unipune.ac.in/Result/Dashboard/Default | TIME OF ACCESS : Thu Feb 08 2024 12:09:08 GMT+0530 (India Standard Time)
USER ID : 14 | URL :https://it.mait.ac.in/index.php/project-synopsis-format-for-7th-semester-students | TIME OF ACCESS : Thu Feb 08 2024 12:10:58 GMT+0530 (India Standard Time)
USER ID : 14 | URL :https://www.readymadeproject.com/Resource/DownloadProjectSynopsis#google_vignette | TIME OF ACCESS : Thu Feb 08 2024 12:11:08 GMT+0530 (India Standard Time)
USER ID : 15 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Thu Feb 08 2024 12:13:03 GMT+0530 (India Standard Time)
USER ID : 14 | URL :chrome://newtab/ | TIME OF ACCESS : Thu Feb 08 2024 12:23:33 GMT+0530 (India Standard Time)
USER ID : 14 | URL :https://www.google.com/search?q=sppu result&oq=sppu result&gs_lcrp=EgZjaHJvbWUqDwgAEEUYOxiDARixAxiABDIPCAAQRRg7GIMBGLEDGIAEMg0IARAAGIMBGLEDGIAEMg0IAhAAGIMBGLEDGIAEMgcIAxAAGIAEMgcIBBAAGIAEMgYIBRBFGEAyDQgGEAAYgwEYsQMYgAQyBwgHEAAYgATSAQg0NzEyajBqN6gCALACAA&sourceid=chrome&ie=UTF-8 | TIME OF ACCESS : Thu Feb 08 2024 12:23:43 GMT+0530 (India Standard Time)
USER ID : 14 | URL :http://www.unipune.ac.in/university_files/results.htm | TIME OF ACCESS : Thu Feb 08 2024 12:23:43 GMT+0530 (India Standard Time)
USER ID : 14 | URL :http://collegecirculars.unipune.ac.in/sites/examdocs/Results/Forms/Active Results.aspx | TIME OF ACCESS : Thu Feb 08 2024 12:23:53 GMT+0530 (India Standard Time)
USER ID : 14 | URL :https://onlineresults.unipune.ac.in/Result/Dashboard/Default | TIME OF ACCESS : Thu Feb 08 2024 12:24:03 GMT+0530 (India Standard Time)
USER ID : 4 | URL :https://localhost:44370/Login/Login | TIME OF ACCESS : Thu Feb 08 2024 14:27:52 GMT+0530 (India Standard Time)
USER ID : 4 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Thu Feb 08 2024 14:28:02 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Login/Login | TIME OF ACCESS : Thu Feb 08 2024 14:57:08 GMT+0530 (India Standard Time)
USER ID : 20 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Thu Feb 08 2024 14:57:18 GMT+0530 (India Standard Time)
USER ID : 2030 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Thu Feb 08 2024 16:44:19 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://localhost:44370/Dashboard/UserDashboard | TIME OF ACCESS : Thu Feb 08 2024 21:25:13 GMT+0530 (India Standard Time)
USER ID : 1 | URL :https://localhost:44370/Dashboard/StartTracking | TIME OF ACCESS : Thu Feb 08 2024 21:25:23 GMT+0530 (India Standard Time)
